player_id,signup_date,country,region,platform,acquisition_channel,age,skill_segment,device_name,email
P00001,2026.02.06,Bharat,APAC,PS,organic,22,CASUAL,"Windows 11",user1@example.com
P00002,"02/17/26 18:04",Nippon,APAC,Windows,"App Store",,Casual,"Windows 11",user2@example.com
P00003,2025-08-09,U.K.,EMEA,pc,ORG,40,Competitive,"Android Tablet",user3@example.com
P00004," 29.11.2025 03:41",IN,APAC,IOS/Android,Organic,38,Casual,iPhone,user4@example.com
P00005,2026-02-11T00:14:01Z,australia,APAC,IOS/Android,"Paid Search",43,Core,"Xbox Series X",user5@example.com
P00006,"11/04/25 11:22",UK,EMEA,PlayStation,paid_search,28,Core,"Android Tablet",user6@example.com
P00007,"07.02.2026 20:54",GB,,Mobile,referral,34,Casual,"Android Tablet",user7@example.com
P00008,2025.09.26,Mexico,LATAM,steam,paid_search,21,Casual,"Windows 11",user8@example.com
P00009,"Jan 01, 2026",Deutschland,EMEA,Mobile,Organic,36,Core,"Samsung Galaxy",user9@example.com
P00010,2026-02-24T14:25:16Z,U.S.A,NA,"xbox series",organic,34,Casual,"Samsung Galaxy",user10@example.com
P00011,2026.03.06,,APAC,Windows,"Google Ads",41,Core,"Windows 10",user11@example.com
P00012,2025/12/07,"United Kingdom",EMEA,"Xbox Series X",paid_search,29,Core,iPhone,user12@example.com
P00013,2026.02.22,UK,EMEA,Windows,influencer,25,Core,PS5,user13@example.com
P00014,2026-02-10,,NA,Mobile,,24,Core,"Windows 11",user14@example.com
P00015,"Dec 08, 2025",India,APAC,pc,Organic,25,Casual,iPad,user15@example.com
P00016,01/06/2026,Spain,EMEA,"Epic PC",Organic,41,Casual,,user16@example.com
P00017,2025/12/02,MX,LATAM,PS5,"Paid Search",16,core,iPhone,user17@example.com
P00018,12/22/2025,GB,EMEA,NULL,"Google Ads",36,Core,"Samsung Galaxy",user18@example.com
P00019,08/01/2025,India,APAC,iOS,Creator,43,Casual,"Samsung Galaxy",user19@example.com
P00020,2025-09-01,India,APAC,PC/Steam,Influencer,19,Competitive,"Android Tablet",user20@example.com
P00021,"01.01.2026 14:56",MX,LATAM,xbox,organic,,Core,Pixel,user21@example.com
P00022,19-11-2025,Korea,APAC,xbox,Influencer,25,Casual,"Samsung Galaxy",user22@example.com
P00023,"2025-09-21 21:18:48",U.K.,EMEA,Windows,Discord,38,Core,PS5,user23@example.com
P00024,"Feb 27, 2026",DE,EMEA,steam,Organic,36,Casual,"Samsung Galaxy",user24@example.com
P00025,"Jan 01, 2026",Germany,EMEA,pc,organic,36,Casual,iPhone,user25@example.com
P00026,"Sep 08, 2025 02:38PM",UK,EMEA,Windows,"Google Ads",25,Core,"Windows 10",user26@example.com
P00027,"30.12.2025 17:15",US,NA,"Epic PC",Organic,43,Core,iPad,user27@example.com
NULL," 05.03.2026 17:46","United States",NA,mobile,YT,44,Casual,"Windows 11",user28@example.com
P00029,"2025-10-04 20:07:35",Deutschland,EMEA,"xbox series",Organic,24,Casual,"Windows 11",user29@example.com
P00030,2025.10.03,BR,LATAM,PC/Steam,paid_search,17,Casual,iPhone,user30@example.com
P00031,2025.10.20,IN,APAC,PC,YT,17,Casual,"Windows 11",user31@example.com
P00032,2026-02-04T21:34:39Z,ES,EMEA,NULL,twitch,19,Casual,"Xbox Series X",user32@example.com
P00033,"15.11.2025 07:23",IN,APAC,steam,"Google Ads",20,Casual,PS5,user33@example.com
P00034,2025-12-28,U.S.A,NA,NULL,ORG,35,Competitive,PS5,user34@example.com
P00035,08-09-2025,Korea,APAC,PC/Steam,"Google Ads",40,Casual,"Android Tablet",user35@example.com
P00036,2025/11/13,India,APAC,iOS,paid_search,20,Casual,"Windows 10",user36@example.com
P00037,"2025-10-14 09:35:20",DE,,ps5,organic,34,Casual,Pixel,user37@example.com
P00038,"Jan 04, 2026 12:35AM",Deutschland,EMEA,ps5,organic,44,Core,"Samsung Galaxy",user38@example.com
P00039,"12/01/25 21:49",Deutschland,EMEA,pc,YouTube,18,Core,"Xbox Series X",user39@example.com
P00040,2025.12.05,canada,NA,xbox,youtube,27,Casual,"Xbox Series X",user40@example.com
P00041,"2026-02-24 16:10:56",australia,APAC,PS5,Discord,33,Competitive,"Windows 11",user41@example.com
P00042,"09/28/25 03:28",,EMEA,xbox,Creator,41,Casual,PS5,user42@example.com
P00043,"Aug 16, 2025",Germany,EMEA,"xbox series","Paid Search",20,Casual,iPhone,user43@example.com
P00044,,Japan,APAC,PC,influencer,20,Core,"Samsung Galaxy",user44@example.com
P00045,"Aug 26, 2025 11:32AM",Bharat,APAC,PS,YouTube,37,CASUAL,"Samsung Galaxy",user45@example.com
P00046,2025-08-20T08:50:37Z,Spain,EMEA,Steam,Organic,34,Casual,"Windows 10",user46@example.com
P00047,2025/09/14,India,APAC,iOS,"Paid Search",45,Core,"Windows 11",user47@example.com
P00048,2025.11.30,"United Kingdom",EMEA,PC/Steam,paid_search,25,Competitive,"Samsung Galaxy",user48@example.com
P00049,2025-09-29T04:08:49Z,GB,EMEA,Android,twitch,,Competitive,"Windows 11",user49@example.com
